Title,description,authors,publisher,publishedDate,categories
According to Matthew,"This volume provides an accessible, introductory commentary on the opening book of the New Testament: the Gospel of Matthew. Words, concepts, parables and historical context are explained.","['A. W. Argyle', 'Aubrey William Argyle']",Cambridge University Press,1963-01-02,['Religion']
Passion D'Amour,"These two novels of 1920s Paris are memoirs of an era when society was devoted to the pleasure of seduction. Plaisir d'Amour follows a group of lovers discovering a world of privilege without boundaries. Joie d'Amour recounts the exploits of those for whom ""civilized"" behavior means testing the forbidden.",['Anne-Marie Villefranche'],Running Press Book Publishers,2002-01-01,['Fiction']
1491: New Revelations of the Americas Before Columbus,"Hoe de wereld zich ontwikkelde na de ontdekking van Amerika De reizen van Columbus vormden het begin van een bijzondere uitwisseling van flora en fauna tussen Eurazië en Noord- en Zuid-Amerika. Zo vonden onder meer tomaten, aardappelen, maïs, zilver en rubber hun weg naar Eurazië, en omgekeerd zijde, paarden, graan, koffie, appels - en slaven niet te vergeten - naar Noord- en Zuid-Amerika. Een minder welkome uitwisseling was uiteraard die van insecten, bacteriën en virussen. Charles Mann laat zien dat deze zogeheten Columbian Exchange heeft gezorgd voor de opkomst van Europa, de ondergang van het Chinese keizerrijk en de verstoring van de ecologie in Afrika. Met 1493 heeft bestsellerauteur Charles Mann de belangrijkste biologische gebeurtenis sinds het uitsterven van de dinosauriërs onder de aandacht van een groot publiek weten te brengen. Charles Mann is correspondent voor The Atlantic en Science, en schrijft onder meer voor Fortune, The NewYork Times en The Washington Post. Zijn boek 1491.De ontdekking van precolumbiaans Amerika was een groot internationaal succes. Manns werk is vele malen bekroond. 'Het is Mann gelukt een gecompliceerd verhaal helder te vertellen (...).' - The New York Times '1493 is een meeslepend boek, dat de vele economische, agrarische en biologische kruisbestuivingen beschrijft die plaatsvonden nadat Columbus toevallig Amerika had ontdekt.' - TheWall Street Journal '(...) een bijzonder onderhoudend en evenwichtig boek.' - New Scientist '(...) boordevol interessante inzichten, wetenswaardigheden en onvoorziene, adembenemende ellende.' - NRCHandelsblad '(...) een uitermate rijk boek.' - Trouw '(...) een helder en onderhoudend verhaal over de mens en zijn medeorganismen (...).' - De Standaard '(...) wérkelijk een fascinerende, nieuwe wereld.' - De Pers",['Charles C. Mann'],Nieuw Amsterdam,2013-02-20,['History']
The Scary Sleepover,Mary and her friends learn to overcome their fears of the dark at a Halloween sleepover at school.,['Ulrich Karger'],North South Books,2002,['Juvenile Fiction']
"Transition in Central and Eastern European Politics, The","This one-of-a-kind book gives readers a general overture to the regions of Russia, Bulgaria, Hungary, and Poland. It helps them realize why states which shared a mutual political legacy for 45 years can be so different today. In addition, it helps readers draw comparative conclusions to determine what is universal and what is incidental. This broad, yet detailed, comparative study provides insights into the factors which have affected the economic, political, and social development in Central and Eastern Europe's socialist states since the fall of the Berlin Wall. Suitable for those interested in an Introduction to Comparative Politics, Global Issues, Central and Eastern European Comparative Politics, and Politics of Post-Communism.",['James William Derleth'],,2000,['History']
The Fragrance of Sweet-Grass: L.M. Montgomery's Heroines and the Pursuit of Romance,"When it originally appeared, Elizabeth Rollins Epperly's The Fragrance of Sweet-Grass was one of the first challenges to the idea that L.M. Montgomery's books were unworthy of serious study. Examining all of Montgomery's fiction, Epperly argues that Montgomery was much more than a master of the romance genre and that, through her use of literary allusions, repetitions, irony, and comic inversions, she deftly manipulated the normal conventions of romance novels. Focusing on Montgomery's memorable heroines, from Anne Shirley to Emily Byrd Starr, Valancy Stirling, and Pat Gardiner, Epperly demonstrates that Montgomery deserves a place in the literary canon not just as the creator of Anne of Green Gables but as an artist in her chosen profession. Since its publication more than twenty years ago, The Fragrance of Sweet-Grass has become a favourite of scholars, writers, and Montgomery fans. This new edition adds a preface in which Epperly discusses the book's contribution to the ongoing research on the life and writing of L.M. Montgomery, reflects on how Montgomery studies have flourished over the past two decades, and suggests new ways to approach and explore the Canadian writer's work.",['Elizabeth Rollins Epperly'],University of Toronto Press,2014,['Literary Criticism']
Shangri-La: The Return to the World of Lost Horizon,"An epic sequel to James Hilton's classic 1933 novel finds Hugh Conway back in Tibet during China's Cultural Revolution, marshalling his forces to forestall a Chinese general who is determined to plunder the riches of Shangri-La. By the authors of Court of the Lion.","['Eleanor Cooney', 'Daniel Altieri']",William Morrow & Company,1996,['Fiction']
The Canon of American Legal Thought,"This anthology presents, for the first time, full texts of the twenty most important works of American legal thought since 1890. Drawing on a course the editors teach at Harvard Law School, the book traces the rise and evolution of a distinctly American form of legal reasoning. These are the articles that have made these authors--from Oliver Wendell Holmes, Jr., to Ronald Coase, from Ronald Dworkin to Catherine MacKinnon--among the most recognized names in American legal history. These authors proposed answers to the classic question: ""What does it mean to think like a lawyer--an American lawyer?"" Their answers differed, but taken together they form a powerful brief for the existence of a distinct and powerful style of reasoning--and of rulership. The legal mind is as often critical as constructive, however, and these texts form a canon of critical thinking, a toolbox for resisting and unravelling the arguments of the best legal minds. Each article is preceded by a short introduction highlighting the article's main ideas and situating it in the context of its author's broader intellectual projects, the scholarly debates of his or her time, and the reception the article received. Law students and their teachers will benefit from seeing these classic writings, in full, in the context of their original development. For lawyers, the collection will take them back to their best days in law school. All readers will be struck by the richness, the subtlety, and the sophistication with which so many of what have become the clichés of everyday legal argument were originally formulated.","['David Kennedy', 'William W. Fisher III']",Princeton University Press,2018-06-05,['Law']
"The Hidden Hand: Britain, America and Cold War Secret Intelligence","A noted scholar lifts the lid on the ""religion of secrecy"" that marked the Cold War, using recently uncovered files to shed light on the British and American intelligence efforts during this period. 20,000 first printing.",['Richard James Aldrich'],,2002,['History']
A Comparative History of World Philosophy: From the Upanishads to Kant,"Breaks through the cultural barriers between Western, Indian, and Chinese philosophy and demonstrates that despite considerable differences between these three great philosophical traditions, there are fundamental resemblances in their abstract principles.",['Ben-Ami Scharfstein'],SUNY Press,1998-01-01,['Philosophy']
Basics of Mortgage-Backed Securities (Frank J. Fabozzi Series),"An up-to-date look at the latest innovations in mortgage-backed securities Since the last edition of Mortgage-Backed Securities was published over three years ago, much has changed in the structured credit market. Frank Fabozzi, Anand Bhattacharya, and William Berliner all have many years of experience working in the fixed-income securitization markets, and have witnessed many cycles of change in the mortgage and MBS sectors. And now, with the Second Edition of Mortgage-Backed Securities, they share their knowledge on many of the products and structuring innovations that have taken place since the financial crisis and fiscal reform. Written in a straightforward and accessible style, and containing numerous illustrations, this timely guide skillfully addresses the investment characteristics, creation, and analysis of mortgage-backed securities. Each chapter contains cutting-edge concepts that you'll need to understand in order to thrive within this arena. Discusses the dynamic interaction between the mortgage industry, home prices, and credit performance Addresses revised valuation techniques in which all non-agency MBS must be treated as credit pieces Examines the shift in this marketplace since the crisis and the impact on industry and investors Filled with in-depth insights and expert advice, Mortgage-Backed Securities, Second Edition offers you a realistic assessment of this field and outlines the products, structures, and analytical techniques you need to know about in this evolving arena.","['Frank J. Fabozzi', 'Anand K. Bhattacharya', 'William S. Berliner']",John Wiley & Sons,2011-08-31,['Business & Economics']
Electrical Engineering: FE Exam preparation,Prepare to pass the computer-based FE Electrical and Computer exam with PPI's FE Electrical and Computer Review Manual.,['Michael R. Lindeburg'],Professional Publications Incorporated,2015,['Reference']
Eloquence Is Power: Oratory and Performance in Early America (Omohundro Institute of Early American History and Culture),"Oratory emerged as the first major form of verbal art in early America because, as John Quincy Adams observed in 1805, ""eloquence was POWER."" In this book, Sandra Gustafson examines the multiple traditions of sacred, diplomatic, and political speech that flourished in British America and the early republic from colonization through 1800. She demonstrates that, in the American crucible of cultures, contact and conflict among Europeans, native Americans, and Africans gave particular significance and complexity to the uses of the spoken word. Gustafson develops what she calls the performance semiotic of speech and text as a tool for comprehending the rich traditions of early American oratory. Embodied in the delivery of speeches, she argues, were complex projections of power and authenticity that were rooted in or challenged text-based claims of authority. Examining oratorical performances as varied as treaty negotiations between native and British Americans, the eloquence of evangelical women during the Great Awakening, and the founding fathers' debates over the Constitution, Gustafson explores how orators employed the shifting symbolism of speech and text to imbue their voices with power.",['Sandra M. Gustafson'],UNC Press Books,2012-12-01,['History']
After the Clockwork Universe,"New York Times bestselling author Edward Dolnick brings to light the true story of one of the most pivotal moments in modern intellectual history—when a group of strange, tormented geniuses invented science as we know it, and remade our understanding of the world. Dolnick’s earth-changing story of Isaac Newton, the Royal Society, and the birth of modern science is at once an entertaining romp through the annals of academic history, in the vein of Bill Bryson’s A Short History of Nearly Everything, and a captivating exploration of a defining time for scientific progress, in the tradition of Richard Holmes’ The Age of Wonder.",['Edward Dolnick'],Harper Collins,2011-02-08,['Science']
Little Rabbit Lost,"It's Little Rabbit's birthday and, as a treat, the whole family go to the Rabbitworld Theme Park. Little Rabbit thinks he's so grown-up that he doesn't need to stay with his Mama. However, he soon realises that he is just a little rabbit after all and does need looking after.",['Harry Horse'],Penguin UK,2019-02-28,['Juvenile Fiction']
Playing with fire: One woman's remarkable odyssey,"How does Tonica Marlow, an evangelical female minister find her way to becoming Tova Mordechai, an Orthodox, practicing Jew? To Play With Fire is the riveting tale of one who rose through the ranks of her religion, educated and ordained at a noted theological seminary - not only as a minister, but as a ""prophetess"" of her faith - while remaining unfulfilled, despairing and numb inside.",['Tova Mordechai'],,2002,['Biography & Autobiography']
Marilyn Monroe.,"A brilliant investigation into the debates surrounding Marilyn Monroe's life and the cultural attitudes that her legend reveals There are many Marilyns: sex goddess and innocent child, crafty manipulator and dumb blonde, liberated woman and tragic loner. Indeed, the writing and rewriting of this endlessly intriguing icon's life has produced more than six hundred books, from the long procession of ""authoritative"" biographies to the memoirs and plays by ex-husband Arthur Miller and the works by Norman Mailer and Joyce Carol Oates. But even as the books have multiplied, myth, reality, fact, fiction, and gossip have become only more intertwined; there is still no agreement about such fundamental questions as Marilyn's given name, the identity of her father, whether she was molested as a child, and how and why she died. The Many Lives of Marilyn Monroe reviews the unreliable and unverifiable-but highly significant-stories that have framed the greatest Hollywood legend. All the while, cultural critic Sarah Churchwell reveals us to ourselves: our conflicted views on women, our tormented sexual attitudes, our ambivalence about success, our fascination with self-destruction. In incisive and passionate prose, Churchwell uncovers the shame, belittlement, and anxiety that we bring to the story of a woman we supposedly adore. In the process, she rescues a Marilyn Monroe who is far more complicated and credible than the one we think we know.",['Sarah Churchwell'],Metropolitan Books,2005-12-27,['Social Science']
Creating the High Performance Team,"Creating High Performance Teams is an accessible and thorough new introduction to this key area of business education. Written by teams experts Ray Aldag and Loren Kuzuhara, this book provides students with both a firm grounding in the key concepts of the field and the practical tools to become successful team managers and members. Built on a solid foundation of the most up to date research and theory, chapters are packed with case studies, real-world examples, tasks and discussion questions, while a companion website supports the book with a wealth of useful resources for students, team members, and instructors. Centered around an original model for high performance teams, topics covered include: Building and developing effective teams Managing diversity Effective communication Team processes – meetings, performance management Dealing with change and team problems Current issues – virtual teams, globalization With its combined emphasis on principles and application, interwoven with the tools, topics, and teams most relevant today, Creating High Performance Teams is perfectly placed to equip upper-level undergraduate and MBA students with the knowledge and skills necessary to take on teams in any situation.","['Ray Aldag', 'Loren Kuzuhara']",Routledge,2015-02-11,['Business & Economics']
"Weep no more, my lady","New York Times bestselling author Mary Higgins Clark’s suspenseful masterpiece is a “crackling tale of menace and love that holds your attention to the last page” (Andrew M. Greeley). Elizabeth Lange has arrived at Cypress Point Spa in Pebble Beach, California, weary of heart and soul. Still grieving for her beloved sister, a famous actress who plunged to her death from her Manhattan penthouse, Elizabeth is determined to unearth the truth about how Leila died. Dashing multimillionaire Ted Winters stands accused of her murder, but Elizabeth has doubts. Along the windswept cliffs of the Monterey coast, in luxurious bungalows, between gourmet meals and beachfront walks, uneasiness stalks Elizabeth while she begins opening doors to the past. As glimpses of the dark truth about Leila's life and death—and about Elizabeth herself—start to crash against her mind, an ominous wave from an unexpected source threatens to engulf her entirely.",['Mary Higgins Clark'],Simon and Schuster,2000-05-25,['Fiction']
Jesus Land,"""A page turner...heart–stopping and enraging...focused, justified, and without a trace of self–pity. Shot through with poignancy."" —New York Times Book Review Over a decade after its first publication, Jesus Land remains deeply resonant with readers. Now with a new preface by the author, this New York Times bestselling memoir is a gripping tale of rage and redemption, hope and humor, morality and malice—and most of all, the truth: that being a good person takes more than just going to church. Julia and her adopted brother, David, are sixteen years old. Julia is white. David is black. It is the mid–1980s and their family has just moved to rural Indiana, a landscape of cottonwood trees, trailer parks, and an all–encompassing racism. At home are a distant mother—more involved with her church's missionaries than her own children—and a violent father. In this riveting and heartrending memoir Julia Scheeres takes us from the Midwest to a place beyond imagining. Surrounded by natural beauty, Escuela Caribe—a religious reform school in the Dominican Republic—is characterized by a disciplinary regime that extracts repentance from its students by any means necessary. Julia and David strive to make it through these ordeals and their tale is relayed here with startling immediacy, extreme candor, and wry humor.",['Julia Scheeres'],Catapult,2012-10-30,['Biography & Autobiography']
Balthus,"Realist of the unreal French-German painter Count Balthasar Klossowski de Rola (1908-2001), known as Balthus, shocked the Parisian art world in 1934 with his dreamy, sensual, Neo-Classical portraits of nymphets at a time when Surrealism and abstraction were de rigueur. As a provocateur, Balthus was often scorned; as an artist, he was widely embraced as a prodigy. In response to critics of his realist style, Balthus said: ""The real isn't what you think you see. One can be a realist of the unreal and a figurative painter of the invisible."" His erotic, poetic paintings live on as examples of the best figurative work of the modern era. About the Series: Each book in TASCHEN's Basic Art series features: a detailed chronological summary of the life and oeuvre of the artist, covering his or her cultural and historical importance a concise biography approximately 100 illustrations with explanatory captions","['Gilles Néret', 'Balthus']",Gulf Professional Publishing,2003,['Art']
Friedrich Nietzsche and the Politics of Transfiguration (expanded ed.),Friedrich Nietzsche and the Politics of Transfiguration provides a comprehensive analysis of the politics that are implicit and explicit in Nietzsche's work. Tracy B. Strong's discussion shows that Nietzsche's writings are of a piece and have as their common goal a politics of transfiguration: a politics that seeks radical change in how human beings live and act in the modern Western world. This edition includes a new introduction that demonstrates how the styles of Nietzsche's writings expand our notions of democratic politics and democratic understanding.,['Tracy B. Strong'],University of Illinois Press,2000,['Philosophy']
The Israelis : Ordinary People in an Extraordinary Land,"An in-depth look at Israeli contemporary culture notes its vibrant civic society in the face of war, its large percentage of professional workers, its Orthodox practices, its love of western music and technology, its thriving gay community, and its reverence for its military. 35,000 first printing.",['Donna Rosenthal'],Simon and Schuster,2003,['History']
The Liberty Ships from A to Z,Who were the silent heroes of ww ii? Without the merchant marine victory would have been impossible. More merchant mariners made the supreme sacrifice percentage-wise than any other service?1 in 26. Read about these unsung heroes.,['George Ward'],,2007,
Tales of the Alhambra,"For a while, the famous writer Irving Washington was an employee of the American diplomatic mission in Spain. He spent three months in the famous Alhambra Palace. This acquaintance with the historical relic inspired him to write this book. In addition to historical descriptions and essays the book contains many magnificent legends that have become loved by millions of readers. By the way, Irving's work is still called the Alhambra guidebook.",['Irving Washington'],Strelbytskyy Multimedia Publishing,2018-08-28,['Fiction']
The good soldier Schweik (Penguin Books),Translates the iconoclastic Czech's classic satire depicting the adventures of a soldier during the First World War,['Jaroslav Hašek'],Everyman's Library,1993,['Fiction']
"The Silicon Valley of Dreams: Environmental Injustice, Immigrant Workers, and the High-Tech Global Economy (Critical America)","Looks at the high technology industries of the Silicon Valley, arguing that it provides an illustration of environmental inequality and racism.","['David N. Pellow', 'Lisa Sun-Hee Park']",NYU Press,2002-12-22,['Business & Economics']
a little old man,"""This book gives hope to those in the deepest depths of despair. This book of poetry and art can be a quick read or one to ponder over many times. I recommend this book to anyone interested in personal healing and growth or to those who work with individuals that are beginning a pathway of healing."" ~~anonymous~~",['Stormy Froom'],Stormy Froom,2004-01-04,"['Body, Mind & Spirit']"
The story of mankind (A Star book),Chronicles the history of man and civilization from primitive beginnings to the current day.,"['Hendrik Willem van Loon', 'Robert Sullivan']",W. W. Norton & Company,2013-12-09,['Juvenile Nonfiction']
Handbook for William (Medieval Texts in Translation),"From women's medicine and the writings of Christine de Pizan to the lives of market and tradeswomen and the idealization of virginity, gender and social status dictated all aspects of women's lives during the middle ages. A cross-disciplinary resource, Women and Gender in Medieval Europe examines the daily reality of medieval women from all walks of life in Europe between 450 CE and 1500 CE, i.e., from the fall of the Roman Empire to the discovery of the Americas. Moving beyond biographies of famous noble women of the middles ages, the scope of this important reference work is vast and provides a comprehensive understanding of medieval women's lives and experiences. Masculinity in the middle ages is also addressed to provide important context for understanding women's roles. Entries that range from 250 words to 4,500 words in length thoroughly explore topics in the following areas: · Art and Architecture · Countries, Realms, and Regions · Daily Life · Documentary Sources · Economics · Education and Learning · Gender and Sexuality · Historiography · Law · Literature · Medicine and Science · Music and Dance · Persons · Philosophy · Politics · Political Figures · Religion and Theology · Religious Figures · Social Organization and Status Written by renowned international scholars, Women and Gender in Medieval Europe is the latest in the Routledge Encyclopedias of the Middle Ages. Easily accessible in an A-to-Z format, students, researchers, and scholars will find this outstanding reference work to be an invaluable resource on women in Medieval Europe.",['Margaret Schaus'],Taylor & Francis,2006,['History']
"The Boys of Winter: Wisconsin's State Basketball Champions, 1956 & 1957","Sam Mitchell, a semi-retired forensic psychiatrist, is quietly trying to put his grief-shattered life back together, when he is approached by an old friend and colleague who is struggling to understand the apparent suicide of a patient. The investigation that follows leads to the discovery of other 'suicides.' As Sam and his friend Cathy grow closer and help each other deal and cope with their losses, it becomes shockingly evident that the mysterious deaths were not self-inflicted. What had started out as an experiment gone awry, gives way to murder.",['John Davis Cantwell'],AuthorHouse,2002-08-01,['Sports & Recreation']
The House of the Arrow,The House of the Arrow is a detective novel that has inspired movies in Fench in English. It features the fictional French detective Inspector Hanaud.,['A. E. W. Mason'],,2010-11,['Fiction']
50 Fast Digital Photo Techniques with Photoshop Elements 3,"* This update features fifty fast and impressive digital photo techniques-eighty percent of which are new since the previous edition * The CD-ROM includes a bonus e-book of the entire first edition-giving readers two books for the price of one * Developed by professional photographer and eDigital Photo contributing writer Gregory Georges, the techniques are valuable to both pros and hobbyists alike * Uses the latest version of Adobe Photoshop Elements in the examples, but the techniques are readily adaptable to most image-editing programs * Includes techniques for traditional photo effects, combining photos, artistic effects, animations, digital photo blends, and much more * Step-by-step details, in-depth instructions, and plenty of illustrations-including a full color insert-make it easy for people to apply the techniques to their own photos",['Gregory Georges'],Wiley,2004-12-03,['Photography']
American Beauty: Jungian Reflections (Jungian Reflections on Literary and Film Classics),"American Beauty penetrates into areas of those very personal thoughts and feelings that normally remain hidden. Richard Chachere has done a masterful job of bringing to the surface both the darkest machinations and extravagant wishes in each individual. And, fortunately this is accomplished in such a manner that allows one to recognise these qualities in oneself and to actually do something about it...which in turn becomes a very healing process. -- George Wagner, Executive Producer of Matter of Heart & Former President of the Los Angeles Jung Institute.",['Richard Chachere'],,2003-01-01,['Psychology']
Death at the President's Lodging,"The crime was at once intriguing and bizarre, efficient and theatrical. The members of St Anthony's College awake one bleak November morning to find the most chilling of crimes has happened in their quiet, contained college. Josiah Umpleby, President of the college, has been shot in his room during the night. The college buzzes with supposition and speculation. Orchard Ground and the lodgings are particularly insulated: only a limited number of senior staff have access and even fewer have their own keys. With the killer walking among them, Inspector John Appleby of the New Scotland Yard is called in to investigate. As tensions rise and accusations abound, can Appleby determine which of the seven suspects had motive and malice enough to murder a colleague in cold blood?",['Michael Innes'],,2017-09-08,"['Appleby, John, Sir (Fictitious character)']"
Los Angeles: Where Anything Is Possible,"""This book is published in conjunction with the exhibition Jews in the Los Angeles Mosaic, organized by the Autry National Center of the American West.""--Introduction.",['Karen Wilson'],Univ of California Press,2013-05-03,['History']
Cultural Anthropology with Student Atlas and PowerWeb,"The new tenth edition of Kottak's best selling text for cultural anthropology continues to offer a holistic introduction to cultural anthropology that approaches the course from a four-field perspective. The new, tenth edition is a major revision offering many new and exciting features that build on the strengths of this approach. The text has two new themes -""Bringing It All Together"" and ""Understanding Ourselves."" The ""Bringing it All Together"" theme, emphasizing anthropology's integrated, comparative and four-field nature, can be found in new ""Bringing it All Together"" essays that show how anthropology's subfields and dimensions combine to interpret and explain a common topic.",['Conrad Phillip Kottak'],"McGraw-Hill Humanities, Social Sciences & World Languages",2003,['Social Science']
An Introductory New Testament Greek Course,"Many Christians have the desire to read the New Testament in its original language. Unfortunately, books that introduce the student to New Testament Greek either tend to be long-winded, or overly simplified, or both. In this book, legendary scholar of biblical Greek, the late Frank Gignac provides a straight-forward ""just the facts"" approach to the subject. In fifteen lessons, he presents the basics of the grammar and the vocabulary essential for reading the Gospels in the original language. All the reader need do is to supply the desire to learn. As Gignac writes, ""good luck as you begin to learn another language! It may be sheer drudgery for a while, but the thrill will come when you begin to read the New Testament in the language in which it was written.""",['Francis T. Gignac'],CUA Press,2015-07-17,['Foreign Language Study']
The dead bird (Young Scott books),"The bird was dead when the children found it, so they dug a grave in the woods and buried it, and sang a song to it.",['Margaret Wise Brown'],,1965,['Death']
Headlong Hall,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",['Thomas Love Peacock'],Palala Press,2015-09-12,
Money Making Marketing (How to Make Serious Money with Your Own Mobile Food Business) Volume 2,"Popular Mechanics inspires, instructs and influences readers to help them master the modern world. Whether it’s practical DIY home-improvement tips, gadgets and digital technology, information on the newest cars or the latest breakthroughs in science -- PM is the ultimate guide to our high-tech lifestyle.",,,1946-08,
French Spirits,"When Jeffrey Greene, a prizewinning American poet, and Mary, his wife-to-be, discover a moss-covered stone presbytery in a lovely village in the Puisaye region of Burgundy, they know they have to live there.",['Jeffrey Greene'],,2003-03,['Burgundy (France)']
Success for Dummies,"Zig Ziglar has inspired and motivated hundreds of thousands of people the world over, through his wildly popular seminars and bestselling books and audiotapes. One reason for Zig's continuing popularity is that his message is so simple and obvious once you've really heard it: success isn't just about how much money you make or what you own, it's a matter of personal fulfillment and the quality of your relationships–with your co-workers and customers, family, friends and neighbors, and especially with yourself. Another reason Zig is one of today's most sought-after motivational speakers and trainers is that his formula for success is so easy to understand and put into practice–and so effective. Success For Dummies is a gold mine of startling insights and practical pointers on achieving success. No matter what your station in life, it can quickly put you on the road to the success you want and deserve. With wit, warmth, and loads o f practical wisdom, Zig Ziglar helps you: Find greater job satisfaction Increase your income Supercharge your career Map a clear road to the top Nurture good relationships at home and work Earn the trust and admiration of everyone in your life Find direction, purpose, and greater fulfillment Packed with inspiring anecdotes and real-life success stories, Success For Dummies explores how your success is determined by the quality of your relationships. It helps you to improve communications with those who matter in your life. And it offers Zig's proven prescriptions for: Understanding what you really want out of life Setting clear, realistic goals Getting motivated and maintaining a positive outlook Developing a strategic plan and putting it into play Measuring your progress with Zig's ten benchmarks Achieving and maintaining optimal physical, emotional, and spiritual health Developing fantastic friendships and a lifelong romance with your spouse Building better employer/employee relationships Making success a lifelong habit Overflowing with the down-to-earth wisdom and can-do spirit that has inspired thousands of Zig Ziglar fans the world over, Success For Dummies is your blueprint for success.",['Zig Ziglar'],For Dummies,1998-03-17,['Business & Economics']
"High Wizardry: Young Wizard Series, Book 3","Young wizards Nita and Kit face their most terrifying challenge yet: Nita's little sister, Dairine. Not only is Dairine far too smart for a ten-year-old, she also has recently become a wizard, and worse yet, a wizard with almost limitless power. When Dairine's computerized wizard's manual glibly sends her off on her novice adventure—her Ordeal—Kit and Nita end up chasing her across the galaxy, trying to catch up with Dairine before she gets into trouble so deep that not even her brains can rescue her.",['Diane Duane'],HarperCollins,2003-10-01,['Juvenile Fiction']
Doubts About Darwin: A History of Intelligent Design,"Traces the workings of the Intelligent Design Movement to challenge theories about Darwinian macroevolution and the accepted naturalistic origin of life, profiling the movement's key contributors and influences to examine both sides of the debate.",['Thomas Woodward'],Baker Publishing Group,2003,['Religion']
"My chess career,","The seminal work of the Cuban genius who repeated the exploits of Morphy, suddenly bursting onto the European scene and annihilating the great masters who had hitherto dominated the international arena. This book captures the magic of Capablanca's early victory at San Sebastian 1911 and his second place - bowing only to Lasker - at St Petersburg 1914. All in all, 35 games are annotated by Capablanca in person with remarkable objectivity - bestowing praise and hurling criticism as and when required.",['Jose Raul Capablanca'],Hardinge Simpole Limited,2003-10-01,['Biography & Autobiography']
Othello,"Othello has long been recognised as one of the most powerful of Shakespeare's tragedies. This is an intense drama of love, deception, jealousy and destruction, written in 1603. Dramatic and powerful in its scope, Othello explores the perils of suspicion and jealousy and the ensuing breakdown of relationships and disaster that can arise from such emotions. Othello, a revered soldier, secretly marries Desdemona, the daughter of a Venetian senator, but is led to believe that she has been unfaithful to him by his ensign, Iago, leading to tragic events. Desdemona's love for Othello, the Moor, transcends racial prejudice; but the envious Iago conspires to devastate their lives. In its vivid rendering of racism, sexism, contested identities, and the savagery lurking within civilization, Othello is arguably the most topical and accessible tragedy from Shakespeare's major phase as a dramatist. Productions on stage and screen regularly renew its power to engross, impress and trouble the imagination.","['William Shakespeare', 'General Press']",GENERAL PRESS,2018-06-28,['Fiction']
The Grace of Repentance (Today's Issues),Provides a biblical definition of repentance and details implications for evangelical churches. Ferguson outlines steps to return to a biblical understanding of the doctrine. Now redesigned.,['Sinclair B. Ferguson'],Crossway,2011-04,['Religion']
Dictionary of Environment & Ecology,guide to a host of new terms being spawned as environment and development issues move to the forefront of international concerns,['Andy Crump'],MIT Press,1993,['Science']
Encyclopedia of Aquarium Fish,"This comprehensive guide is the most complete owner's manual for keeping all types of freshwater and marine fish. The book will take you through all the options in choosing the right fish for any water temperature - tropical and cold water - and for all types of environment - indoor aquariums or outdoor ponds. Know the difference between keeping marine fish and freshwater fish, including differences in aquarium setups, and feeding and caring for your pet fish. Learn to tell if your fish are healthy and find out everything you need to breed them successfully. The Encyclopedia of Aquarium & Pond Fishcontains a huge photographic colour reference directory of over 800 of the most popular fish, which not only shows you what they look like, but also gives you the key information you need, such as how big they will grow, whether they integrate with different fish, what food they eat, and what water type and temperature they prefer.",['Dorling Kindersley Publishing Staff'],,2019-02,
"A Wizard Abroad: Young Wizard Series, Book 4","Sent to stay with an aunt in Ireland, Nita a young American wizard, finds herself in a land steeped with the essence of old wizardry where creatures of myth and legend slip into everyday reality. Suggested level: intermediate, junior secondary.",['Diane Duane'],Houghton Mifflin Harcourt,2001,['Juvenile Fiction']
The Monkees: Collectibles Price Guide,"Provides descriptions and values for all kinds of Monkees memorabilia, including posters, buttons, trading cards, and books and magazines",['Marty Eck'],Antique Trader,1998,['Antiques & Collectibles']
What Every Mother Needs to Know about Babies,"This pocket-sized parenting guide for moms and moms-to-be is perfect for a baby shower or Mother's Day gift. This little handbook is filled with all the secrets and strategies a smart mother needs to know. Featuring tips for mastering quick and easy meals, suggestions for baby-proofing like an expert, advice on stocking your medicine cabinet, tricks to making a long wait fun, and much, much more, such as: • How to Swaddle a Baby • Fourteen Birthday-Party Survival Tips • The Truth about Potty Training • The Miracle of White Noise • Comebacks for Unsolicited Parenting Advice","['Heather Gibbs Flett', 'Whitney Moss']",Quirk Books,2018-03-27,['Family & Relationships']
The Longing Season (Music of the Heart #2),Biographical novel about the slave trader and ship captain who converted to Christianity and authored the hymn Amazing grace.,['Christine Schaub'],,2006,['Hymn writers']
FE-EIT PM - General Engineering (REA) - The Best Test Prep for the EIT Exam (Engineering (FE/EiT) Test Preparation),"This test prep book includes two full-length practice tests with explanations for every answer. Detailed review chapters provide sample problems and solutions, as well as an overview of the test subjects. Designed to assess students' knowledge of engineering subjects ranging from chemistry to thermodynamics. A thorough preparation for students taking the FE: PM General exam.","['John Presti', 'George Wetzel', 'James Colaizzi']",Research & Education Assoc.,1999,['Technology & Engineering']
